id,normal_1,normal_2,day3_1,day3_2,day3_3,day7_1,day7_2,day7_3,day14_1,day14_2
ENSMUSG00000014599,14.9136,10.405,83.5424,99.4323,85.2043,97.8538,118.993,115.464,88.8127,151.708
ENSMUSG00000018593,173.944,142.298,1187.36,1193.44,984.003,696.458,804.127,868.847,1553.78,1202.71
ENSMUSG00000061808,648.151,1275.1,2761.89,2234.05,4267.59,1547.99,2801.93,2809.21,4626.75,2823.54
ENSMUSG00000030399,132.174,396.516,1007.27,321.144,324.129,397.447,299.887,220.035,228.108,378.701
ENSMUSG00000032231,1261.27,1131.92,2857.94,3062.24,2613.89,2362.77,3331.82,3049.54,3775.81,3075.58
ENSMUSG00000061540,278.618,374.25,4531.82,3860.6,9008.39,2031.48,1556.87,1662.07,2690.21,5234.31
ENSMUSG00000025747,306.36,246.631,970.205,976.615,1000.37,379.715,339.288,394.482,456.663,240.197
ENSMUSG00000029368,6745.16,16855.9,41862.1,34266.5,66224.9,28685,37967.4,39583,70218,61476
ENSMUSG00000030978,1106.09,977.582,1950.86,2392.32,1936.61,1378.18,1453.65,1682.32,1694.1,1446.62
ENSMUSG00000042459,599.612,398.076,266.786,243.729,255.529,720.217,426.121,279.203,821.061,2206.69
ENSMUSG00000059668,47.8686,86.3558,382.706,338.067,539.728,361.979,514.207,364.21,590.577,491.862
ENSMUSG00000058207,1746.43,3152.03,9277.62,7455.41,16431.1,5459.88,6601.25,7506.41,13495.9,13543.5
ENSMUSG00000021270,19812.6,16265.7,18375.4,21052,18955.4,14380.9,16674.6,15912.5,13454.9,12938.5
ENSMUSG00000003549,68.5613,63.3762,94.3762,101.444,90.5014,93.951,108.455,93.3868,97.9906,99.3066
ENSMUSG00000025823,10176.7,8164.03,11122.3,12565.4,11364.8,9800.21,11928.9,10968.6,11668,11180.7
ENSMUSG00000006589,550.328,470.243,558.59,586.332,517.239,473.952,620.333,533.163,477.063,383.066
ENSMUSG00000026532,1579.03,4270.42,5261.66,4380.27,7253.86,2986.42,4082.45,3966.45,7803.17,3172.87
ENSMUSG00000032496,816.763,688.744,4933.07,4764.83,4759.42,2506.03,3452.16,4727.44,7306.55,4148.48
ENSMUSG00000025150,1741.66,1375.64,989.67,870.032,853.155,794.699,841.744,592.528,1065,687.947
ENSMUSG00000026656,562.429,419.408,676.705,659.721,573.53,981.927,1169.68,1189.6,1841.53,1975.82
ENSMUSG00000003283,194.15,142.446,835.409,1050.47,832.675,998.875,1167.76,1469.21,1725.52,2250.7
ENSMUSG00000020048,13804.3,11077.1,15137.3,16893.9,15169.8,13039.2,15551.9,14457.2,15916.7,15064.1
ENSMUSG00000026043,579.808,565.409,2152,1888.09,1930.25,1295.61,2018.22,1630,3590.03,2870.37
ENSMUSG00000031503,549.17,569.637,1352.39,1258.34,1153.25,1166.89,1542.99,1181.69,1716.85,1585.14
ENSMUSG00000041959,271.564,193.613,509.892,430.629,462.767,374.96,620.735,405.129,759.394,539.081
ENSMUSG00000002985,1176.51,1496.84,3600.57,3444.34,4364.02,2824.77,3515.95,4558.92,5142.33,5137.7
ENSMUSG00000022982,11201.4,9129.54,6080.83,6587.27,6178.69,4920.79,5624.38,4637.48,3440.77,3062.88
ENSMUSG00000019179,22256.9,18702.9,9930.95,12163.3,9996.61,8334.79,8052.15,6595,4879.91,4338.41
ENSMUSG00000022055,932.716,624.593,1861.34,1448,1646.11,1204.7,1801.41,1603.65,2475.8,2040.19
ENSMUSG00000022054,127.606,79.1266,90.3132,55.8453,90.6696,57.2895,86.8932,91.508,101.091,122.09
ENSMUSG00000026405,720.143,835.778,1610.78,1327.65,2103.1,746.859,1239.18,995.999,1717.5,962.703
ENSMUSG00000044041,85.8713,94.3157,431.102,325.51,260.588,382.422,483.356,349.52,944.727,506.233
ENSMUSG00000032562,1682.05,1455.06,2441.96,2536.42,2314.46,2160.57,2780.69,2541.35,2751.31,2827.38
ENSMUSG00000005198,5206.27,4832.72,7459.74,8599.23,7834.86,7307.38,9069.41,8511.9,8108.88,8578.34
ENSMUSG00000069516,2474.74,2283.08,643.561,626.048,770.693,1377.15,767.703,618.661,570.379,469.634
ENSMUSG00000038721,65.3251,67.5364,94.8349,124.213,94.832,94.3743,122.742,96.3875,125.086,122.092
ENSMUSG00000024503,458.628,361.754,327.131,383.899,371.276,163.931,158.792,82.052,64.9871,64.1313
ENSMUSG00000025809,4751.72,4464.33,6677.77,7445.5,6455.69,6148.62,8090.26,6760.83,7377.69,6437.14
ENSMUSG00000034394,161.071,244.769,1225.37,1061.43,1244.06,569.638,798.716,1030.75,1059.96,1398.19
ENSMUSG00000025130,17022.3,13887.1,15444.4,17071.6,15535.6,11533.8,14311.5,12263.6,15480.7,11974.4
ENSMUSG00000028766,5430.85,4786.28,4294.25,4648.67,4239.29,3633.84,3675.06,2932.82,1446.79,929.703
ENSMUSG00000026234,9048.24,8303.23,16039.8,19108.5,16047.8,13054.1,17291.9,16567.3,14156.7,12972.9
ENSMUSG00000062070,17330.5,15262.9,12278.7,13549.7,12106.1,10532.6,11497,9575.78,8484.86,6364.52
ENSMUSG00000066632,17330.5,15262.9,12278.7,13549.7,12106.1,10532.6,11497,9575.78,8484.86,6364.52
ENSMUSG00000020681,10061.3,8465.79,5978.36,7112.41,6114.11,4991.78,4840.3,4343.03,2308.19,2355.86
ENSMUSG00000024661,1385.66,1509.32,2139.5,2279.69,2524.34,2046.75,2640.63,2310.53,3169.08,2443.78
ENSMUSG00000024621,356.751,325.442,1129.55,1304.45,1232.75,1236.27,1476.05,1739.59,1896.32,2172.31
ENSMUSG00000038227,37.8547,40.0109,35.4747,48.4509,43.1197,51.7785,59.5355,46.0891,46.0254,51.0995
ENSMUSG00000056648,96.9322,100.575,122.696,134.224,110.808,146.578,167.636,142.113,153.409,150.281
ENSMUSG00000006818,9041.78,7887.95,3657.42,4113.66,3872.9,2961.28,2538.66,2111.74,1296.7,970.081
ENSMUSG00000000303,3758.85,3554.48,3541.99,4137.27,3674.55,3411.89,3937.39,3307.48,2726.27,2440.98
ENSMUSG00000005681,17.6164,42.6213,79.2459,53.3628,92.3056,30.9381,40.0249,50.361,97.4348,64.9349
ENSMUSG00000015790,732.753,791.011,431.997,617.289,481.238,459.527,437.68,434.839,253.949,264.23
ENSMUSG00000014873,79.4192,66.4496,134.628,151.822,129.071,120.299,152.891,175.698,130.624,131.923
ENSMUSG00000075376,213.392,182.595,266.503,308.906,290.076,242.663,284.935,274.183,274.776,264.057
ENSMUSG00000025371,311.171,319.871,312.184,351.501,319.89,312.143,357.454,291.489,272.106,286.172
