id,normal_1,normal_2,day1_1,day1_2,day2_1,day2_2,day7_1,day7_2,day14_1,day14_2
ENSMUSG00000049734,97.9781,150.637,161.828,174.372,215.031,426.97,251.2,433.517,158.059,215.79
ENSMUSG00000024875,249.714,352.953,266.869,274.055,246.653,405.028,183.367,348.253,129.322,202.901
ENSMUSG00000039168,510.821,717.744,839.095,588.841,908.316,1115.99,825.292,1722.24,568.603,739.166
ENSMUSG00000027222,721.433,1039.8,717.915,697.753,590.321,780.688,249.908,521.135,162.712,368.519
ENSMUSG00000024395,2063.25,1989.76,1881.66,2026.35,2024.47,2696.53,2162.62,3877.23,1242.97,1321.73
ENSMUSG00000001155,4268.81,5035.04,3198.39,2936.34,1612.9,2304.15,504.075,902.008,288.843,888.955
ENSMUSG00000031479,3207.22,4122.56,2649.8,2714.91,2958.97,3722.97,2002.46,4044.17,1376.75,2313.41
ENSMUSG00000030284,611.932,703.828,502.789,521.048,624.161,726.842,408.705,821.904,272.119,457.184
ENSMUSG00000063683,12307.3,18102.2,11369.1,12433.9,7935.55,10383.8,3351.35,6477.8,2419.22,6093.05
ENSMUSG00000024866,11458.4,15240.8,8965.48,8306.75,4794.74,7086.59,2075.11,3619.84,1463.61,3413.65
ENSMUSG00000040883,1389.27,1921.61,1124.69,1078.63,763.213,1183.34,416.945,927.996,323.666,626.265
ENSMUSG00000018659,309.977,533.343,266.294,244.048,190.891,261.1,98.8773,177.943,63.4454,165.494
ENSMUSG00000007603,996.081,1049.73,995.855,893.348,1052.86,1359.13,914.614,1837.78,609.4,755.327
ENSMUSG00000057363,294.406,367.11,413.269,429.758,526.503,713.146,227.12,458.018,146.281,239.85
ENSMUSG00000044252,1630.25,1778.12,1069.18,1154.47,961.823,1286.25,714.266,1152.12,570.688,678.742
ENSMUSG00000021400,138.022,175.955,120.098,137.239,141.416,181.038,138.946,228.387,84.3123,118.743
ENSMUSG00000025417,3187.37,4832.98,2731.42,2939.16,3340.57,3333.01,1679.62,3761.21,1246.96,2643.99
ENSMUSG00000045763,239.091,1156.52,616.741,227.626,300.708,360.749,1538.62,2903.88,1285.16,1301.65
ENSMUSG00000031645,92.7331,69.0085,109.574,152.307,162.217,178.687,37.8895,50.2434,21.2194,24.8398
ENSMUSG00000018459,1382.09,1811.63,878.69,743.694,412.702,734.178,300.35,655.149,276.637,783.995
ENSMUSG00000028307,30271.8,37832.2,23638,25923.6,15013.2,20385.7,11663.2,23095.4,9788.91,17351.4
ENSMUSG00000021962,303.768,422.345,337.382,323.729,439.229,516.586,265.625,544.613,179.795,299.096
ENSMUSG00000029684,1663.57,2636.38,1761.74,1705.63,2064.89,2227.25,1195.52,2731.1,828.388,1592.07
ENSMUSG00000031987,405.398,502.457,369.71,381.457,379.325,508.741,282.129,519.539,213.299,287.772
ENSMUSG00000032580,1527.96,1909.03,1611.58,1638.05,1779.48,2409.71,1458.49,2510.9,907.028,1353.85
ENSMUSG00000050315,539.636,976.876,515.52,520.814,541.355,601.612,422.28,949.284,297.939,600.552
ENSMUSG00000024759,3473.02,4133.2,3057.77,3351.87,3665.54,4701.37,2804.9,5318.21,1889.72,2517
ENSMUSG00000025533,11142.7,16077.9,8955.35,8876.09,6093.76,8061.15,3679.97,7719.97,2940.6,6173.94
ENSMUSG00000027244,135.653,230.586,137.503,145.073,143.739,167.057,96.1444,163.526,66.7809,91.5755
ENSMUSG00000060216,218.542,252.043,256.253,260.92,440.475,585.961,443.238,966.291,276.293,557.844
ENSMUSG00000042167,21.21,32.2542,23.3051,27.542,29.5881,35.809,23.6413,49.8624,13.6246,24.2111
ENSMUSG00000022808,2364.79,3174.19,2364.44,2360.62,2486.58,3211.08,1317.34,3001.2,848.824,1574.48
ENSMUSG00000035443,1547.4,2221.91,1257.05,1312.13,1538.47,1907.87,1404.39,3011.61,942.892,1389.87
ENSMUSG00000020459,2939.88,4397.14,2531.45,2545.71,2123.14,2562.65,989.932,2158.21,807.149,1874.61
ENSMUSG00000058392,647.468,906.104,828.287,857.129,1140.2,1334.59,678.107,1554.54,401.866,700.176
ENSMUSG00000035890,158.161,237.45,203.829,157.42,177.174,262.899,115.102,236.838,72.6664,139.221
ENSMUSG00000089917,450.678,607.874,427.551,446.162,588.048,755.265,428.609,938.848,276.083,434.44
ENSMUSG00000029154,404.237,572.943,457.091,435.759,489.869,546.287,328.484,762.117,285.128,351.215
ENSMUSG00000058230,1720.5,2312.42,1658.25,1712.91,1977.21,2309.14,1268.15,2483.25,897.286,1557.99
ENSMUSG00000000384,2741.6,3340.52,2321.2,2343.52,1927.78,2523.85,1119.99,2504.91,948.882,1612.62
ENSMUSG00000030347,510.89,695.151,505.608,472.035,444.503,606.638,305.58,624.16,216.08,358.922
ENSMUSG00000022434,91.9713,147.772,120.198,163.094,214.587,224.929,120.245,206.504,64.4743,115.419
ENSMUSG00000026670,2095.01,2779.42,2832.74,3024.84,3309.54,4019.46,1484.85,3114.4,959.916,1800.32
ENSMUSG00000042215,653.662,998.235,1390.35,1759.52,2500.17,2892.33,1270.58,2632.94,807.773,947.428
ENSMUSG00000020988,6377.57,8411.63,4832.02,5072.75,3226.66,4371.66,1468.9,3006.05,1051.65,2551.94
ENSMUSG00000021710,4788.51,5844.43,4940.37,5044.42,4716.13,5941.95,2884.73,6390.16,2075.07,3497.04
ENSMUSG00000030225,2098.52,2867.49,1795.39,1976.48,1573.61,2102.01,1041.45,2032.25,786.783,1409.75
ENSMUSG00000030062,9743.29,13827.4,8484.25,9572.44,9756.39,13100.7,6187.13,13021.5,4251.35,6875.29
ENSMUSG00000022451,3673.34,4931.6,3554.24,3716.08,3615.98,5230.1,2738.9,5861.84,2043.42,3138.25
ENSMUSG00000026694,528.576,622.697,540.824,560.558,533.716,693.24,329.367,608.338,179.507,325.726
ENSMUSG00000002455,2394.67,3146.37,2357.3,2462.31,2996.63,3448.07,2229.06,4328.39,1401.22,2305.5
ENSMUSG00000028378,1984.46,2575.78,1625.31,1738.73,1640.54,1967.23,1258.5,2060.09,797.55,1517.09
ENSMUSG00000030272,334.415,490.059,379.9,336.246,426.77,545.666,279.132,428.655,145.731,236.468
ENSMUSG00000037916,8748.36,10757,6103.6,7107.41,4548.59,6176.64,2830.13,5424.15,2330.85,4101.41
ENSMUSG00000040025,519.241,771.583,707.33,704.262,900.958,944.792,526.03,1008.18,300.398,536.038
ENSMUSG00000026519,97.0892,115.738,87.6987,102.847,143.681,158.03,95.9421,190.782,70.4809,102.34
ENSMUSG00000035342,34.874,61.2318,34.425,41.7675,51.8545,53.7306,36.3157,49.3823,13.4851,29.3158
ENSMUSG00000004100,548.858,694.875,679.868,799.32,872.219,1080.34,673.198,1199.3,401.811,440.709
ENSMUSG00000039611,86.1752,126.421,88.0074,74.0841,72.4009,77.8295,47.7444,97.1602,31.6617,58.1351
ENSMUSG00000022136,3520.24,4383.42,2899.24,3243.12,3027.72,4253.78,2007.19,3865.16,1450.51,2584.79
ENSMUSG00000026623,727.87,999.516,628.738,668.935,616.024,853.271,378.25,740.403,251.134,396.262
ENSMUSG00000042709,1238.93,1631.46,970.48,1019.56,845.746,978.261,512.987,986.719,397.574,765.879
ENSMUSG00000063975,2678.31,2698.6,1536.5,1114.83,453.257,766.732,271.483,526.739,230.433,716.236
ENSMUSG00000028134,365.108,498.439,414.243,470.733,500.382,750.481,458.567,876.838,250.66,321.432
ENSMUSG00000041278,336.17,525.061,374.744,342.706,334.742,500.577,258.21,450.129,172.695,274.092
ENSMUSG00000022800,950.26,1357.75,906.629,876.096,1131.55,1267.04,743.699,1405.73,513.996,842.243
ENSMUSG00000035637,7567.82,10666.5,6010.83,6177.97,4343.01,6023.38,2254.4,4658.93,1851.9,3490.17
ENSMUSG00000034382,907.063,1430.98,669.294,633.687,931.901,772.752,875.217,1270.89,537.391,699.084
ENSMUSG00000026425,865.418,1156.01,902.191,890.606,1100.99,1385.52,839.059,1607.96,533.539,961.029
ENSMUSG00000020121,207.152,326.906,269.108,244.719,279.758,345.152,221.587,420.823,124.831,231.116
ENSMUSG00000034663,812.964,1365.21,973.764,959.628,1111.86,1283.25,771.494,1595.18,472.245,841.567
ENSMUSG00000063779,370.428,585.145,204.502,407.973,278.464,262.414,60.9665,98.3458,20.3949,83.5753
ENSMUSG00000041650,23554.6,30736.6,17261.3,18621.5,11562.8,15573.5,5976.44,11613.6,4803.35,9582.54
ENSMUSG00000079834,2275.25,1865.93,1689.09,1696.08,1234.29,1716.15,1055.02,2159.64,836.49,865.214
ENSMUSG00000027166,25.6633,26.5136,18.8568,25.156,20.6509,24.9768,14.3157,17.4681,11.8561,15.3048
ENSMUSG00000002475,754.913,1032.6,559.495,595.542,335.924,452.234,179.922,286.823,149.612,291.605
ENSMUSG00000001891,7648.84,10798,7467.14,8229.49,5848.03,8044.06,3232.47,7051.55,2382.41,4566.45
ENSMUSG00000010051,25.1168,34.9674,34.1003,35.7627,44.5396,53.8361,20.8587,41.176,12.8134,24.4198
ENSMUSG00000030733,374.49,515.496,307.922,304.067,306.508,385.755,259.507,471.985,169.498,286.194
ENSMUSG00000037089,866.471,1162.4,844.796,829.366,972.498,1185.62,547.477,1302.79,442.225,722.013
ENSMUSG00000020593,1236.99,1505.35,971.42,935.334,908.424,1161.75,667.141,1281.75,479.902,787.124
ENSMUSG00000053291,1321.05,1582.13,1133.13,1108.24,1302.58,1718.21,858.738,1903.52,611.144,960.873
ENSMUSG00000017405,450.378,487.857,405.561,387.882,380.444,441.834,279.344,479.108,166.805,257.134
ENSMUSG00000020262,64.2792,79.2113,60.0249,56.3548,63.365,75.1401,56.4475,93.2885,38.5315,41.9878
ENSMUSG00000022788,736.729,938.546,574.243,522.07,631.348,700.048,362.149,775.73,292.135,477.43
ENSMUSG00000031384,416.702,509.91,302.804,284.723,274.983,371.523,231.124,452.7,171.556,312.006
ENSMUSG00000035349,470.566,578.161,440.617,411.863,384.379,524.447,205.255,425.351,144.798,304.159
ENSMUSG00000012187,602.847,853.731,580.499,701.611,444.337,643.435,155.115,309.627,95.7479,292.726
ENSMUSG00000031486,36.1056,54.0851,42.4072,41.6665,40.2143,56.5193,40.175,75.5023,24.116,47.8559
ENSMUSG00000046020,242.909,231.543,196.858,182.619,175.785,268.78,174.03,321.341,124.225,163.531
ENSMUSG00000031715,4688.32,5821.56,4830.27,4969.31,6517.34,7648.51,4645.35,8983.12,2898.08,4377.85
ENSMUSG00000040249,6236.46,7490.91,6151.87,6673.56,9797.3,11704.9,9622.06,17437.7,6093.32,7342.43
ENSMUSG00000000278,2634.37,4976.95,2994.58,2651.68,3117.03,3823.21,2302.38,5447.45,1785.26,2605.03
ENSMUSG00000031967,2383.07,3314.76,2152.48,2141.97,1724.19,2284.71,840.547,1858.4,677.055,1390.96
ENSMUSG00000030064,56.2048,93.7326,44.5484,40.7133,53.615,61.1491,31.2059,65.0126,20.2994,44.679
ENSMUSG00000015804,91.3044,203.842,156.931,75.642,121.152,189.534,91.41,183.181,50.2929,106.386
ENSMUSG00000059743,1162.77,1511.23,1218.2,1416.58,1395.97,1895.08,1116.92,2170.94,776.505,1417.44
ENSMUSG00000034248,99.7342,138.54,122.933,117.538,87.8987,123.222,39.7461,87.1459,32.5294,59.9389
ENSMUSG00000093954,99.7342,138.54,122.933,117.538,87.8987,123.222,39.7461,87.1459,32.5294,59.9389
ENSMUSG00000040560,2980.86,3713.51,2888.63,2710.05,2672.04,3481.69,1578.15,3399.97,1109.78,1842.82
ENSMUSG00000010663,1122.58,1520.86,807.806,939.731,1324.2,1370.02,732.63,1555.66,620.439,1045.9
ENSMUSG00000039058,496.56,587.037,439.995,450.167,427.9,647.823,364.039,705.512,224.59,368.716
ENSMUSG00000069769,1403.57,1930.48,1194.2,1298.27,1340.33,1516.3,867.708,1707.14,570.695,1100.27
ENSMUSG00000023150,1618.4,1933.85,1574.93,1528.54,923.715,1840.38,1157.47,1945.99,659.454,1206.38
ENSMUSG00000026024,658.609,869.323,685.487,656.343,593.028,791.407,312.633,693.34,245.104,439.122
ENSMUSG00000038600,7641.4,10660.8,6856.74,6824.54,5139.48,6769.71,2754.19,5565.7,2095.78,4054.99
ENSMUSG00000007415,84.1177,98.2901,69.5306,62.7741,65.7252,84.4542,52.0419,95.5621,31.0826,57.8638
ENSMUSG00000022914,80.4663,116.039,76.3937,66.2426,61.9524,73.0904,32.6577,78.6714,24.9915,59.9418
ENSMUSG00000037933,594.293,800.492,742.828,792.127,1186.21,1352.16,667.493,1213.14,361.256,603.247
ENSMUSG00000002679,213.046,263.87,236.877,210.469,247.465,354.49,203.084,343.219,133.237,158.088
ENSMUSG00000056515,413.169,432.771,493.567,464.028,583.343,782.036,713.278,1311.24,388.641,422.562
ENSMUSG00000030619,390.469,410.285,408.23,429.12,523.024,731.254,376.472,745.87,240.097,391.721
ENSMUSG00000041459,5479.85,7028.78,4623.25,5864.83,6005.79,8160.46,5730.16,11341.9,3549.51,4644.39
ENSMUSG00000024095,3063.2,3324.06,2514.68,2605.18,2782.69,4082.4,2874.05,5506.4,1865.93,2298.22
ENSMUSG00000029720,932.23,1194.58,735.044,791.322,873.683,1043.19,687.166,1359.13,431.549,708.474
ENSMUSG00000093445,932.23,1194.58,735.044,791.322,873.683,1043.19,687.166,1359.13,431.549,708.474
ENSMUSG00000027809,12515.5,14672.9,8934.17,9971.41,6215.72,8983.65,3554.79,7497.38,2784.51,5127.51
ENSMUSG00000025474,672.568,916.503,615.598,576.312,849.541,980.277,426.085,1021.51,283.932,619.05
ENSMUSG00000036138,5125.54,6551.88,4350.34,4549.44,3546.13,4396.39,1963.43,4112.47,1601.76,2410.17
ENSMUSG00000048351,2891.65,4116.44,2680.49,2534.52,1898.05,2620.7,1266.5,2646.13,1048.86,1660.25
ENSMUSG00000026097,33.0403,54.296,45.3206,25.1825,27.7497,36.2978,15.647,42.3835,13.538,32.8126
ENSMUSG00000032554,13546.4,8528.51,30005.4,23321,26083.5,36933.5,15762,19199.3,8027.76,11912.3
ENSMUSG00000036206,1061.84,1286.32,1399.91,1432.58,1797.46,1906.01,1326.86,2713.18,746.885,1350.73
ENSMUSG00000034259,550.349,722.777,554.982,556.463,656.514,861.941,517.429,1005.96,320.637,483.701
ENSMUSG00000028945,2237.92,2714.79,2326.8,2239.75,2415.15,2834.88,1227.08,2689.85,845.756,1574.78
ENSMUSG00000060860,48.271,61.1287,46.8071,61.4444,107.09,141.002,34.0728,66.3346,21.3305,51.3137
ENSMUSG00000029851,376.36,453.112,311.912,356.047,491.377,606.384,408.03,779.233,277.197,387.046
ENSMUSG00000029681,173.004,346.821,298.405,288.921,243.46,368.586,276.098,466.906,181.865,218.055
ENSMUSG00000052428,1435.98,1958.37,1328.46,1382.6,1474.94,1809.83,746.298,1617.54,546.511,956.068
ENSMUSG00000031979,1324.89,1737.68,1319.4,1360.7,1543.7,1960.17,1002.52,2146.87,671.962,1066.07
ENSMUSG00000038072,2725.96,3433.71,1163.15,1277.97,1022.38,1600.94,843.704,1658.06,865.61,1594.87
ENSMUSG00000033732,4718.1,5756.5,4497.09,4913.92,5670.68,7309.53,4252.57,8623.67,2649.56,4085.11
ENSMUSG00000002546,1945.42,2842.18,2147.78,2183.54,2215.04,2799.38,1367.65,2464.26,855.581,1396.62
ENSMUSG00000022378,823.465,1063.36,848.867,841.424,1266.22,1804.51,1361.36,2933.7,888.469,1354.21
ENSMUSG00000017999,1171.3,1465.06,1856.71,1935,2349.09,2610.78,1081.1,2393.46,714.854,1083.86
ENSMUSG00000039427,218.476,195.695,213.717,219.501,223.097,305.183,148.961,324.685,103.705,163.351
ENSMUSG00000024883,159.855,201.772,209.225,233.407,322.033,317.458,207.817,358.738,117.414,190.466
