mirna,A178_day3,A180_day7,A181_day7,A189_day14,A196_normal,A200_normal,A201_normal,A74_day3,A75_day3,A80_day7,A84_day14,A85_day14
mmu-miR-369-5p,0,2,2,0,0,4,0,2,0,0,2,0
mmu-miR-370-3p,0,0,0,0,0,2,0,0,0,0,0,0
mmu-miR-374b-5p,177,289,162,168,197,227,170,233,160,176,237,148
mmu-miR-375-3p,2413,3471,2456,2181,649,839,559,2624,1289,2940,2435,1092
mmu-miR-376a-3p,0,0,0,0,0,0,2,0,2,0,0,0
mmu-miR-376a-5p,0,0,0,3,0,0,0,0,0,0,0,0
mmu-miR-376b-3p,2,2,0,0,0,5,0,0,0,0,0,0
mmu-miR-376b-5p,0,3,0,4,0,0,4,0,0,0,0,2
mmu-miR-376c-3p,0,4,0,0,0,0,0,0,0,2,2,0
mmu-miR-378a-3p,97376,107050,69110,64981,109561,162130,88707,92166,57814,64283,100161,57431
mmu-miR-378a-5p,389,482,322,277,437,578,320,364,255,264,296,206
mmu-miR-378b,14,44,34,27,34,50,23,26,11,14,36,7
mmu-miR-378c,3998,5049,3120,2806,4577,6463,3684,4101,2028,2015,3057,1697
mmu-miR-378d,0,0,0,0,2,0,0,2,0,0,2,0
mmu-miR-379-3p,3,0,0,0,0,2,0,0,0,0,0,2
mmu-miR-379-5p,6,4,3,3,2,0,2,5,3,7,5,9
mmu-miR-380-3p,4,0,0,3,4,0,2,0,3,0,0,0
mmu-miR-381-3p,30,33,20,24,27,28,19,34,24,26,17,22
mmu-miR-382-3p,0,0,0,0,0,0,0,2,0,0,0,0
mmu-miR-382-5p,6,3,0,2,2,0,0,3,2,3,0,0
mmu-miR-383-5p,0,3,0,3,0,4,0,0,0,0,2,0
mmu-miR-3960,0,0,0,0,0,0,2,0,0,0,0,0
mmu-miR-3963,0,3,0,2,2,2,3,2,0,0,2,0
mmu-miR-3968,288,311,185,114,231,315,341,390,197,137,157,95
mmu-miR-409-3p,28,19,7,15,6,11,0,24,14,8,9,10
mmu-miR-410-3p,38,60,29,42,39,36,18,53,30,48,27,19
mmu-miR-411-3p,2,2,0,0,2,0,0,3,3,2,2,0
mmu-miR-411-5p,207,334,144,178,161,217,115,262,216,276,265,186
mmu-miR-421-3p,561,794,455,382,475,654,426,643,457,564,643,302
mmu-miR-421-5p,2,3,0,0,0,2,3,4,0,0,4,0
mmu-miR-423-3p,4433,4329,2852,2289,3042,3994,3034,3959,2771,3289,3794,1772
mmu-miR-423-5p,1607,1576,990,900,1364,1541,1575,1539,1090,1362,1964,871
mmu-miR-425-3p,55,98,70,46,48,75,76,77,48,61,60,40
mmu-miR-425-5p,1699,2421,1489,1367,1332,2045,1207,1908,1211,1662,1768,926
mmu-miR-429-3p,18981,25458,15039,13545,14017,16607,11052,19508,11534,15913,19255,8926
mmu-miR-431-3p,2,0,0,0,0,0,0,0,2,0,0,0
mmu-miR-431-5p,2,8,5,10,3,8,0,11,5,10,5,3
mmu-miR-433-3p,0,0,0,0,0,0,0,2,2,0,0,0
mmu-miR-434-3p,120,170,110,185,120,109,75,152,79,131,131,91
mmu-miR-434-5p,25,34,15,12,12,16,9,16,11,27,17,15
mmu-miR-449a-5p,8,12,5,2,0,2,3,6,0,10,3,5
mmu-miR-450a-1-3p,0,0,0,0,0,2,0,0,0,0,0,0
mmu-miR-450a-5p,160,282,163,158,211,264,297,181,173,195,253,145
mmu-miR-450b-3p,4,8,3,6,0,5,2,5,0,3,4,0
