mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-miR-423-3p,8666,6568,9483,7516,14717,12850,9841,10658,14636,6859,17223,13873,4350,9288,5851
mmu-miR-423-5p,4308,2917,4899,3901,5758,5519,4398,4904,6228,4712,8849,7735,1454,3752,2474
mmu-miR-425-3p,456,233,339,295,329,375,374,374,461,376,507,361,173,377,206
mmu-miR-425-5p,5950,4202,5329,4776,6998,7668,6558,6549,7989,4497,8967,7203,2689,4720,3816
mmu-miR-429-3p,37902,24458,31215,29766,49493,54899,44587,47770,59707,30275,57100,41660,22807,38084,33872
mmu-miR-431-3p,2,2,3,2,0,0,4,0,0,0,2,2,0,0,0
mmu-miR-431-5p,31,84,118,27,20,35,25,42,28,17,23,30,0,9,7
mmu-miR-433-3p,4,6,11,5,5,3,7,10,6,2,2,2,0,4,0
mmu-miR-433-5p,0,0,2,0,0,0,0,2,2,0,3,0,0,0,0
mmu-miR-434-3p,425,1178,1683,529,328,300,403,695,368,207,461,463,89,208,187
mmu-miR-434-5p,92,196,289,90,106,99,109,172,119,62,136,78,19,36,28
mmu-miR-449a-5p,42,24,22,19,46,55,38,17,43,33,37,39,17,14,18
mmu-miR-449c-5p,0,0,0,2,0,2,0,2,0,0,2,0,2,0,0
mmu-miR-450a-1-3p,0,2,5,2,4,5,0,6,2,2,2,2,0,0,4
mmu-miR-450a-2-3p,2,0,0,3,0,7,2,9,5,3,2,4,0,2,4
mmu-miR-450a-5p,688,430,551,683,997,958,1246,1201,880,413,996,556,364,563,606
mmu-miR-450b-3p,17,9,11,21,28,21,26,21,32,10,13,18,16,20,15
mmu-miR-450b-5p,426,256,343,309,620,724,685,608,541,287,603,381,174,293,357
mmu-miR-451a,6250,2390,5551,5507,8560,6546,16147,10600,3499,925,4268,4895,9876,872,2168
mmu-miR-452-3p,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
mmu-miR-452-5p,16,5,12,3,7,7,5,10,8,4,10,7,2,0,0
mmu-miR-455-3p,355,296,389,374,309,445,394,422,409,271,379,330,257,392,385
mmu-miR-455-5p,602,440,576,412,848,916,790,720,629,313,565,648,485,785,827
mmu-miR-463-5p,0,0,0,0,2,5,3,2,10,3,7,5,3,0,2
mmu-miR-465a-3p,0,7,6,10,10,8,8,0,21,18,6,14,0,5,0
mmu-miR-465a-5p,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-465b-3p,0,7,6,10,10,8,8,0,21,18,6,14,0,5,0
mmu-miR-465c-3p,0,7,6,10,10,8,8,0,21,18,6,14,0,5,0
mmu-miR-465c-5p,6,11,15,8,12,15,25,33,39,28,36,22,8,4,3
mmu-miR-466a-3p,104,72,81,63,64,90,54,61,77,31,81,62,4,2,7
mmu-miR-466a-5p,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
mmu-miR-466b-3p,149,88,114,84,109,133,75,83,109,56,146,91,4,8,9
mmu-miR-466b-5p,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0
mmu-miR-466c-3p,149,88,114,84,109,133,73,83,109,56,142,91,4,8,9
mmu-miR-466c-5p,11,7,9,10,12,8,15,9,6,7,17,4,0,2,2
mmu-miR-466d-3p,34,28,31,22,20,22,19,18,23,9,24,20,0,0,3
mmu-miR-466d-5p,3,2,4,4,3,7,0,3,4,6,6,4,0,0,0
mmu-miR-466e-3p,149,88,114,84,109,133,73,83,109,56,142,91,4,8,9
mmu-miR-466e-5p,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
mmu-miR-466f,0,0,0,0,2,0,5,5,0,2,2,0,0,0,0
mmu-miR-466f-3p,27,16,12,10,13,27,8,21,12,11,26,10,0,0,0
mmu-miR-466f-5p,0,0,0,0,2,0,5,5,0,2,2,0,0,0,0
mmu-miR-466g,8,11,16,13,14,18,10,16,12,12,13,7,2,2,2
mmu-miR-466h-3p,11,8,12,6,7,5,11,8,4,9,9,9,0,2,3
mmu-miR-466h-5p,16,8,5,11,7,11,2,7,9,7,10,8,2,0,0
mmu-miR-466i-3p,5,3,2,0,4,5,0,6,2,4,3,0,0,0,0
mmu-miR-466j,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
mmu-miR-466k,3,0,3,2,0,0,0,0,0,0,2,0,0,0,0
mmu-miR-466m-3p,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-466m-5p,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
mmu-miR-466n-3p,0,0,0,0,0,3,3,3,0,0,2,0,0,0,0
mmu-miR-466n-5p,3,2,4,4,3,7,0,3,4,6,6,4,0,0,0
mmu-miR-466o-5p,6,0,3,2,0,4,2,2,0,0,0,0,0,0,0
mmu-miR-466p-3p,149,88,114,84,109,133,73,83,109,56,142,91,4,8,9
mmu-miR-466p-5p,0,0,5,2,0,0,0,0,0,0,2,2,0,0,0
mmu-miR-467a-3p,45,63,79,64,45,43,33,47,44,41,45,44,9,6,7
mmu-miR-467a-5p,160,114,160,152,102,125,108,108,149,103,161,141,25,28,23
mmu-miR-467b-5p,160,114,160,152,102,125,108,108,149,103,161,141,25,28,23
